,image,description,context,question,prompt,generated_answer,answers
0,images/news/Showjumping_white_horse.jpeg,"A horse and rider jumping over a white obstacle in an equestrian showjumping event, under a cloudy sky.",social_media,"what's the vibe, is it happy are they winning?","Assume someone is browsing a social_media website when they encounter this image. They cannot see the image directly, but they can access this image description: A horse and rider jumping over a white obstacle in an equestrian showjumping event, under a cloudy sky. Based on this description, they asked this follow-up question. Please answer based on the image. In your answer, prioritize details relevant to this person. Question: what's the vibe, is it happy are they winning?","The image depicts a horse and rider in an equestrian showjumping event,","['The vibe is more serious and determined ', 'The atmosphere is very passionate and active. However, it cannot be confirmed whether the match was won.', 'the person is happy, they are doing what they enjoy']"
1,images/social_media/220px-Summer_Games_Done_Quick_attendees_(48149404692).jpeg,"A diverse group of people seated in rows, attentively watching an event, some raising hands to participate.",news,How many people are there?,"Assume someone is browsing a news website when they encounter this image. They cannot see the image directly, but they can access this image description: A diverse group of people seated in rows, attentively watching an event, some raising hands to participate. Based on this description, they asked this follow-up question. Please answer based on the image. In your answer, prioritize details relevant to this person. Question: How many people are there?","There are many people in the image, but I cannot provide an exact number without seeing the photo. The","['More than 50', ""It's a crowd of people, too many to really count."", 'Hundreds of people']"
2,images/shopping/Green_brocade_silk_saree.jpeg,A woman in an elegant green sari with gold details poses beside a red pot on a green backdrop.,shopping,Where was the photo taken?,"Assume someone is browsing a shopping website when they encounter this image. They cannot see the image directly, but they can access this image description: A woman in an elegant green sari with gold details poses beside a red pot on a green backdrop. Based on this description, they asked this follow-up question. Please answer based on the image. In your answer, prioritize details relevant to this person. Question: Where was the photo taken?","The photo was taken in a studio setting, as the woman is posing in front of a green back","['a photo studio', 'Inside a building.']"
3,images/news/Avalanche_on_Everest.jpeg,"An active volcano emitting smoke, viewed from a high vantage point with snow-capped slopes nearby.",science_journals,Where is the volcano located?,"Assume someone is browsing a science_journals website when they encounter this image. They cannot see the image directly, but they can access this image description: An active volcano emitting smoke, viewed from a high vantage point with snow-capped slopes nearby. Based on this description, they asked this follow-up question. Please answer based on the image. In your answer, prioritize details relevant to this person. Question: Where is the volcano located?","The volcano is located in a mountainous region, surrounded by snow-capped slopes.","['Somewhere cold', 'In the mountains ']"
4,images/shopping/685px-Sofa3800ppx.jpeg,"A beige sofa with four decorative pillows: two green with distinct patterns, one with a blend of muted colors, and a floral print cushion.",shopping,What else is in the room?,"Assume someone is browsing a shopping website when they encounter this image. They cannot see the image directly, but they can access this image description: A beige sofa with four decorative pillows: two green with distinct patterns, one with a blend of muted colors, and a floral print cushion. Based on this description, they asked this follow-up question. Please answer based on the image. In your answer, prioritize details relevant to this person. Question: What else is in the room?","Based on the image description, the room features a beige couch with four decorative pillows.","['The photo only shows the sofa, there is nothing else in the picture.', 'There is nothing else visible in the room except the white wall in the background.', 'There is nothing else in the room from the picture advantage view']"
5,images/news/London_Marathon_2005_at_Blackfriars.jpeg,"A crowded marathon with runners on a city street, spectators line the route, and trees and buildings alongside.",social_media,What is the weather like?,"Assume someone is browsing a social_media website when they encounter this image. They cannot see the image directly, but they can access this image description: A crowded marathon with runners on a city street, spectators line the route, and trees and buildings alongside. Based on this description, they asked this follow-up question. Please answer based on the image. In your answer, prioritize details relevant to this person. Question: What is the weather like?","The weather in the image appears to be sunny, as the large group of people is running down the","[""It looks like there's warm weather judging from the clear skies and sun."", 'The sky is blue, and the weather appears to be ideal for a marathon.', 'The weather is party cloudy and hazy with the sun shining through.']"
6,images/news/Avalanche_on_Everest.jpeg,"An active volcano emitting smoke, viewed from a high vantage point with snow-capped slopes nearby.",travel,Is it erupting?,"Assume someone is browsing a travel website when they encounter this image. They cannot see the image directly, but they can access this image description: An active volcano emitting smoke, viewed from a high vantage point with snow-capped slopes nearby. Based on this description, they asked this follow-up question. Please answer based on the image. In your answer, prioritize details relevant to this person. Question: Is it erupting?","Yes, the image shows an active volcano emitting smoke, indicating that it is erupting.","[""It doesn't look like it as there's no lava, just some smoke."", 'The volcano is erupting smoke.', 'Yes it is erupting or that is what it looks like to me']"
7,images/shopping/Astrid_Andersen_01.jpeg,"A group of male models walk the runway in a fashion show wearing white mesh shirts, a large white jacket, and long white pants. The material is loose.",social_media,What is the ambiance of the room the fashion show is in?,"Assume someone is browsing a social_media website when they encounter this image. They cannot see the image directly, but they can access this image description: A group of male models walk the runway in a fashion show wearing white mesh shirts, a large white jacket, and long white pants. The material is loose. Based on this description, they asked this follow-up question. Please answer based on the image. In your answer, prioritize details relevant to this person. Question: What is the ambiance of the room the fashion show is in?",The fashion show is taking place in a room with a crowd of people watching the models. The atmosphere appears,"['It is very dark, but the models are illuminated with a white light.', 'stiff, intense, uptight, bleak ', 'It looks warm.']"
8,images/news/ARG_Line-up_-_ARG_vs_MEX_for_2022_FIFA_WC.jpeg,A soccer team in striped blue and white kits poses for a group photo on the field.,shopping,how many players are in the photo,"Assume someone is browsing a shopping website when they encounter this image. They cannot see the image directly, but they can access this image description: A soccer team in striped blue and white kits poses for a group photo on the field. Based on this description, they asked this follow-up question. Please answer based on the image. In your answer, prioritize details relevant to this person. Question: how many players are in the photo",There are eleven players in the photo.,"['There is eleven players.', 'There are 11 players and a crowd in the background.', 'There are 11 players in the photo.']"
9,images/shopping/340px-Diane_von_Furstenberg_Spring-Summer_2014_07.jpeg,A beautiful African American model walks a bright runway wearing a black dress with intricate gold patterns. She has long black hair and is wearing black heels. Audience members watch from the side.,shopping,What kind of colors make up the runway and background?,"Assume someone is browsing a shopping website when they encounter this image. They cannot see the image directly, but they can access this image description: A beautiful African American model walks a bright runway wearing a black dress with intricate gold patterns. She has long black hair and is wearing black heels. Audience members watch from the side. Based on this description, they asked this follow-up question. Please answer based on the image. In your answer, prioritize details relevant to this person. Question: What kind of colors make up the runway and background?","The runway and background are predominantly white, which creates a clean and bright appearance for the fashion","['The colors are a light-blue/white and yellow/beige color.', 'silver and white', 'White and badge strips']"
